question;answer;text
Where does ADO Den Haag play their home games in the Eredivisie 20/21?;ADO Den Haag plays their home games at Cars Jeans Stadion in the Eredivisie 20/21.;<s>[INST] Where does ADO Den Haag play their home games in the Eredivisie 20/21? [/INST] ADO Den Haag plays their home games at Cars Jeans Stadion in the Eredivisie 20/21. </s>
When was ADO Den Haag founded?;ADO Den Haag was founded on 02/01/1905.;<s>[INST] When was ADO Den Haag founded? [/INST] ADO Den Haag was founded on 02/01/1905. </s>
In which country is ADO Den Haag based?;ADO Den Haag is based in Netherlands.;<s>[INST] In which country is ADO Den Haag based? [/INST] ADO Den Haag is based in Netherlands. </s>
What is the full name of ADO Den Haag?;The full name of ADO Den Haag is ADO Den Haag.;<s>[INST] What is the full name of ADO Den Haag? [/INST] The full name of ADO Den Haag is ADO Den Haag. </s>
Who is the manager of De Graafschap in the Eredivisie 18/19?;The manager of De Graafschap in the Eredivisie 18/19 is Jan Vreman.;<s>[INST] Who is the manager of De Graafschap in the Eredivisie 18/19? [/INST] The manager of De Graafschap in the Eredivisie 18/19 is Jan Vreman. </s>
Where does De Graafschap play their home games in the Eredivisie 18/19?;De Graafschap plays their home games at De Vijverberg in the Eredivisie 18/19.;<s>[INST] Where does De Graafschap play their home games in the Eredivisie 18/19? [/INST] De Graafschap plays their home games at De Vijverberg in the Eredivisie 18/19. </s>
When was De Graafschap founded?;De Graafschap was founded on 02/01/1954.;<s>[INST] When was De Graafschap founded? [/INST] De Graafschap was founded on 02/01/1954. </s>
In which country is De Graafschap based?;De Graafschap is based in Netherlands.;<s>[INST] In which country is De Graafschap based? [/INST] De Graafschap is based in Netherlands. </s>
What is the full name of De Graafschap?;The full name of De Graafschap is De Graafschap.;<s>[INST] What is the full name of De Graafschap? [/INST] The full name of De Graafschap is De Graafschap. </s>
Who is the manager of NAC Breda in the Eredivisie 18/19?;The manager of NAC Breda in the Eredivisie 18/19 is Jean-Paul van Gastel.;<s>[INST] Who is the manager of NAC Breda in the Eredivisie 18/19? [/INST] The manager of NAC Breda in the Eredivisie 18/19 is Jean-Paul van Gastel. </s>
Where does NAC Breda play their home games in the Eredivisie 18/19?;NAC Breda plays their home games at Rat Verlegh Stadion in the Eredivisie 18/19.;<s>[INST] Where does NAC Breda play their home games in the Eredivisie 18/19? [/INST] NAC Breda plays their home games at Rat Verlegh Stadion in the Eredivisie 18/19. </s>
When was NAC Breda founded?;NAC Breda was founded on 09/19/1912.;<s>[INST] When was NAC Breda founded? [/INST] NAC Breda was founded on 09/19/1912. </s>
In which country is NAC Breda based?;NAC Breda is based in Netherlands.;<s>[INST] In which country is NAC Breda based? [/INST] NAC Breda is based in Netherlands. </s>
What is the full name of NAC Breda?;The full name of NAC Breda is NAC Breda.;<s>[INST] What is the full name of NAC Breda? [/INST] The full name of NAC Breda is NAC Breda. </s>
Who is the manager of Roda JC Kerkrade in the Eredivisie 17/18?;The manager of Roda JC Kerkrade in the Eredivisie 17/18 is Bas Sibum.;<s>[INST] Who is the manager of Roda JC Kerkrade in the Eredivisie 17/18? [/INST] The manager of Roda JC Kerkrade in the Eredivisie 17/18 is Bas Sibum. </s>
Where does Roda JC Kerkrade play their home games in the Eredivisie 17/18?;Roda JC Kerkrade plays their home games at Parkstad Limburg in the Eredivisie 17/18.;<s>[INST] Where does Roda JC Kerkrade play their home games in the Eredivisie 17/18? [/INST] Roda JC Kerkrade plays their home games at Parkstad Limburg in the Eredivisie 17/18. </s>
When was Roda JC Kerkrade founded?;Roda JC Kerkrade was founded on 06/27/1962.;<s>[INST] When was Roda JC Kerkrade founded? [/INST] Roda JC Kerkrade was founded on 06/27/1962. </s>
In which country is Roda JC Kerkrade based?;Roda JC Kerkrade is based in Netherlands.;<s>[INST] In which country is Roda JC Kerkrade based? [/INST] Roda JC Kerkrade is based in Netherlands. </s>
What is the full name of Roda JC Kerkrade?;The full name of Roda JC Kerkrade is Roda JC Kerkrade.;<s>[INST] What is the full name of Roda JC Kerkrade? [/INST] The full name of Roda JC Kerkrade is Roda JC Kerkrade. </s>
Who is the manager of FC Dordrecht in the Eredivisie 14/15?;The manager of FC Dordrecht in the Eredivisie 14/15 is Michele Santoni.;<s>[INST] Who is the manager of FC Dordrecht in the Eredivisie 14/15? [/INST] The manager of FC Dordrecht in the Eredivisie 14/15 is Michele Santoni. </s>
Where does FC Dordrecht play their home games in the Eredivisie 14/15?;FC Dordrecht plays their home games at GN Bouw Stadion in the Eredivisie 14/15.;<s>[INST] Where does FC Dordrecht play their home games in the Eredivisie 14/15? [/INST] FC Dordrecht plays their home games at GN Bouw Stadion in the Eredivisie 14/15. </s>
When was FC Dordrecht founded?;FC Dordrecht was founded on 07/01/1972.;<s>[INST] When was FC Dordrecht founded? [/INST] FC Dordrecht was founded on 07/01/1972. </s>
In which country is FC Dordrecht based?;FC Dordrecht is based in Netherlands.;<s>[INST] In which country is FC Dordrecht based? [/INST] FC Dordrecht is based in Netherlands. </s>
What is the full name of FC Dordrecht?;The full name of FC Dordrecht is FC Dordrecht.;<s>[INST] What is the full name of FC Dordrecht? [/INST] The full name of FC Dordrecht is FC Dordrecht. </s>
Who is the manager of Racing Club in the Copa Libertadores 2023?;The manager of Racing Club in the Copa Libertadores 2023 is Sebastián Grazzini.;<s>[INST] Who is the manager of Racing Club in the Copa Libertadores 2023? [/INST] The manager of Racing Club in the Copa Libertadores 2023 is Sebastián Grazzini. </s>
Where does Racing Club play their home games in the Copa Libertadores 2023?;Racing Club plays their home games at Estadio Presidente Perón in the Copa Libertadores 2023.;<s>[INST] Where does Racing Club play their home games in the Copa Libertadores 2023? [/INST] Racing Club plays their home games at Estadio Presidente Perón in the Copa Libertadores 2023. </s>
When was Racing Club founded?;Racing Club was founded on 03/25/1903.;<s>[INST] When was Racing Club founded? [/INST] Racing Club was founded on 03/25/1903. </s>
In which country is Racing Club based?;Racing Club is based in Argentina.;<s>[INST] In which country is Racing Club based? [/INST] Racing Club is based in Argentina. </s>
What is the full name of Racing Club?;The full name of Racing Club is Racing Club.;<s>[INST] What is the full name of Racing Club? [/INST] The full name of Racing Club is Racing Club. </s>
Who is the manager of Ñublense in the Copa Libertadores 2023?;The manager of Ñublense in the Copa Libertadores 2023 is Hernan Caputto.;<s>[INST] Who is the manager of Ñublense in the Copa Libertadores 2023? [/INST] The manager of Ñublense in the Copa Libertadores 2023 is Hernan Caputto. </s>
Where does Ñublense play their home games in the Copa Libertadores 2023?;Ñublense plays their home games at Estadio Municipal Nelson Oyarzún Arenas in the Copa Libertadores 2023.;<s>[INST] Where does Ñublense play their home games in the Copa Libertadores 2023? [/INST] Ñublense plays their home games at Estadio Municipal Nelson Oyarzún Arenas in the Copa Libertadores 2023. </s>
When was Ñublense founded?;Ñublense was founded on 08/20/1916.;<s>[INST] When was Ñublense founded? [/INST] Ñublense was founded on 08/20/1916. </s>
In which country is Ñublense based?;Ñublense is based in Chile.;<s>[INST] In which country is Ñublense based? [/INST] Ñublense is based in Chile. </s>
What is the full name of Ñublense?;The full name of Ñublense is Ñublense.;<s>[INST] What is the full name of Ñublense? [/INST] The full name of Ñublense is Ñublense. </s>
Who is the manager of Aucas in the Copa Libertadores 2023?;The manager of Aucas in the Copa Libertadores 2023 is Santiago Escobar.;<s>[INST] Who is the manager of Aucas in the Copa Libertadores 2023? [/INST] The manager of Aucas in the Copa Libertadores 2023 is Santiago Escobar. </s>
Where does Aucas play their home games in the Copa Libertadores 2023?;Aucas plays their home games at Estadio Gonzalo Pozo Ripalda in the Copa Libertadores 2023.;<s>[INST] Where does Aucas play their home games in the Copa Libertadores 2023? [/INST] Aucas plays their home games at Estadio Gonzalo Pozo Ripalda in the Copa Libertadores 2023. </s>
When was Aucas founded?;Aucas was founded on 02/06/1945.;<s>[INST] When was Aucas founded? [/INST] Aucas was founded on 02/06/1945. </s>
In which country is Aucas based?;Aucas is based in Ecuador.;<s>[INST] In which country is Aucas based? [/INST] Aucas is based in Ecuador. </s>
What is the full name of Aucas?;The full name of Aucas is Aucas.;<s>[INST] What is the full name of Aucas? [/INST] The full name of Aucas is Aucas. </s>
Who is the manager of Emelec in the Copa Libertadores 2022?;The manager of Emelec in the Copa Libertadores 2022 is Hernan Torres Oliveros.;<s>[INST] Who is the manager of Emelec in the Copa Libertadores 2022? [/INST] The manager of Emelec in the Copa Libertadores 2022 is Hernan Torres Oliveros. </s>
Where does Emelec play their home games in the Copa Libertadores 2022?;Emelec plays their home games at Estadio Banco del Pacífico Capwell in the Copa Libertadores 2022.;<s>[INST] Where does Emelec play their home games in the Copa Libertadores 2022? [/INST] Emelec plays their home games at Estadio Banco del Pacífico Capwell in the Copa Libertadores 2022. </s>
When was Emelec founded?;Emelec was founded on 04/28/1929.;<s>[INST] When was Emelec founded? [/INST] Emelec was founded on 04/28/1929. </s>
In which country is Emelec based?;Emelec is based in Ecuador.;<s>[INST] In which country is Emelec based? [/INST] Emelec is based in Ecuador. </s>
What is the full name of Emelec?;The full name of Emelec is Emelec.;<s>[INST] What is the full name of Emelec? [/INST] The full name of Emelec is Emelec. </s>
Who is the manager of Deportivo Táchira in the Copa Libertadores 2022?;The manager of Deportivo Táchira in the Copa Libertadores 2022 is Eduardo Sarago.;<s>[INST] Who is the manager of Deportivo Táchira in the Copa Libertadores 2022? [/INST] The manager of Deportivo Táchira in the Copa Libertadores 2022 is Eduardo Sarago. </s>
Where does Deportivo Táchira play their home games in the Copa Libertadores 2022?;Deportivo Táchira plays their home games at Polideportivo de Pueblo Nuevo in the Copa Libertadores 2022.;<s>[INST] Where does Deportivo Táchira play their home games in the Copa Libertadores 2022? [/INST] Deportivo Táchira plays their home games at Polideportivo de Pueblo Nuevo in the Copa Libertadores 2022. </s>
When was Deportivo Táchira founded?;Deportivo Táchira was founded on 01/11/1974.;<s>[INST] When was Deportivo Táchira founded? [/INST] Deportivo Táchira was founded on 01/11/1974. </s>
In which country is Deportivo Táchira based?;Deportivo Táchira is based in Venezuela.;<s>[INST] In which country is Deportivo Táchira based? [/INST] Deportivo Táchira is based in Venezuela. </s>
What is the full name of Deportivo Táchira?;The full name of Deportivo Táchira is Deportivo Táchira.;<s>[INST] What is the full name of Deportivo Táchira? [/INST] The full name of Deportivo Táchira is Deportivo Táchira. </s>
Who is the manager of Independiente Petrolero in the Copa Libertadores 2022?;The manager of Independiente Petrolero in the Copa Libertadores 2022 is Marcelo Robledo.;<s>[INST] Who is the manager of Independiente Petrolero in the Copa Libertadores 2022? [/INST] The manager of Independiente Petrolero in the Copa Libertadores 2022 is Marcelo Robledo. </s>
Where does Independiente Petrolero play their home games in the Copa Libertadores 2022?;Independiente Petrolero plays their home games at Estadio Olimpico Patria in the Copa Libertadores 2022.;<s>[INST] Where does Independiente Petrolero play their home games in the Copa Libertadores 2022? [/INST] Independiente Petrolero plays their home games at Estadio Olimpico Patria in the Copa Libertadores 2022. </s>
When was Independiente Petrolero founded?;Independiente Petrolero was founded on 04/04/1932.;<s>[INST] When was Independiente Petrolero founded? [/INST] Independiente Petrolero was founded on 04/04/1932. </s>
In which country is Independiente Petrolero based?;Independiente Petrolero is based in Bolivia.;<s>[INST] In which country is Independiente Petrolero based? [/INST] Independiente Petrolero is based in Bolivia. </s>
What is the full name of Independiente Petrolero?;The full name of Independiente Petrolero is Independiente Petrolero.;<s>[INST] What is the full name of Independiente Petrolero? [/INST] The full name of Independiente Petrolero is Independiente Petrolero. </s>
Who is the manager of Defensa y Justicia in the Copa Libertadores 2021?;The manager of Defensa y Justicia in the Copa Libertadores 2021 is Julio Vaccari.;<s>[INST] Who is the manager of Defensa y Justicia in the Copa Libertadores 2021? [/INST] The manager of Defensa y Justicia in the Copa Libertadores 2021 is Julio Vaccari. </s>
Where does Defensa y Justicia play their home games in the Copa Libertadores 2021?;Defensa y Justicia plays their home games at Estadio Norberto Tomaghello in the Copa Libertadores 2021.;<s>[INST] Where does Defensa y Justicia play their home games in the Copa Libertadores 2021? [/INST] Defensa y Justicia plays their home games at Estadio Norberto Tomaghello in the Copa Libertadores 2021. </s>
When was Defensa y Justicia founded?;Defensa y Justicia was founded on 03/20/1935.;<s>[INST] When was Defensa y Justicia founded? [/INST] Defensa y Justicia was founded on 03/20/1935. </s>
In which country is Defensa y Justicia based?;Defensa y Justicia is based in Argentina.;<s>[INST] In which country is Defensa y Justicia based? [/INST] Defensa y Justicia is based in Argentina. </s>
What is the full name of Defensa y Justicia?;The full name of Defensa y Justicia is Defensa y Justicia.;<s>[INST] What is the full name of Defensa y Justicia? [/INST] The full name of Defensa y Justicia is Defensa y Justicia. </s>
Who is the manager of Independiente del Valle in the Copa Libertadores 2021?;The manager of Independiente del Valle in the Copa Libertadores 2021 is Martin Anselmi.;<s>[INST] Who is the manager of Independiente del Valle in the Copa Libertadores 2021? [/INST] The manager of Independiente del Valle in the Copa Libertadores 2021 is Martin Anselmi. </s>
Where does Independiente del Valle play their home games in the Copa Libertadores 2021?;Independiente del Valle plays their home games at Estadio Banco De Guayaquil in the Copa Libertadores 2021.;<s>[INST] Where does Independiente del Valle play their home games in the Copa Libertadores 2021? [/INST] Independiente del Valle plays their home games at Estadio Banco De Guayaquil in the Copa Libertadores 2021. </s>
When was Independiente del Valle founded?;Independiente del Valle was founded on 03/01/1958.;<s>[INST] When was Independiente del Valle founded? [/INST] Independiente del Valle was founded on 03/01/1958. </s>
In which country is Independiente del Valle based?;Independiente del Valle is based in Ecuador.;<s>[INST] In which country is Independiente del Valle based? [/INST] Independiente del Valle is based in Ecuador. </s>
What is the full name of Independiente del Valle?;The full name of Independiente del Valle is Independiente del Valle.;<s>[INST] What is the full name of Independiente del Valle? [/INST] The full name of Independiente del Valle is Independiente del Valle. </s>
Who is the manager of Universitario in the Copa Libertadores 2021?;The manager of Universitario in the Copa Libertadores 2021 is Jorge Fossati.;<s>[INST] Who is the manager of Universitario in the Copa Libertadores 2021? [/INST] The manager of Universitario in the Copa Libertadores 2021 is Jorge Fossati. </s>
Where does Universitario play their home games in the Copa Libertadores 2021?;Universitario plays their home games at Estadio Monumental in the Copa Libertadores 2021.;<s>[INST] Where does Universitario play their home games in the Copa Libertadores 2021? [/INST] Universitario plays their home games at Estadio Monumental in the Copa Libertadores 2021. </s>
When was Universitario founded?;Universitario was founded on 08/07/1924.;<s>[INST] When was Universitario founded? [/INST] Universitario was founded on 08/07/1924. </s>
In which country is Universitario based?;Universitario is based in Peru.;<s>[INST] In which country is Universitario based? [/INST] Universitario is based in Peru. </s>
What is the full name of Universitario?;The full name of Universitario is Universitario.;<s>[INST] What is the full name of Universitario? [/INST] The full name of Universitario is Universitario. </s>
Who is the manager of Junior Barranquilla in the Copa Libertadores 2020?;The manager of Junior Barranquilla in the Copa Libertadores 2020 is Arturo Reyes.;<s>[INST] Who is the manager of Junior Barranquilla in the Copa Libertadores 2020? [/INST] The manager of Junior Barranquilla in the Copa Libertadores 2020 is Arturo Reyes. </s>
Where does Junior Barranquilla play their home games in the Copa Libertadores 2020?;Junior Barranquilla plays their home games at Estadio Metropolitano Roberto Melendez in the Copa Libertadores 2020.;<s>[INST] Where does Junior Barranquilla play their home games in the Copa Libertadores 2020? [/INST] Junior Barranquilla plays their home games at Estadio Metropolitano Roberto Melendez in the Copa Libertadores 2020. </s>
When was Junior Barranquilla founded?;Junior Barranquilla was founded on 08/07/1924.;<s>[INST] When was Junior Barranquilla founded? [/INST] Junior Barranquilla was founded on 08/07/1924. </s>
In which country is Junior Barranquilla based?;Junior Barranquilla is based in Colombia.;<s>[INST] In which country is Junior Barranquilla based? [/INST] Junior Barranquilla is based in Colombia. </s>
What is the full name of Junior Barranquilla?;The full name of Junior Barranquilla is Junior Barranquilla.;<s>[INST] What is the full name of Junior Barranquilla? [/INST] The full name of Junior Barranquilla is Junior Barranquilla. </s>
Who is the manager of Barcelona SC in the Copa Libertadores 2020?;The manager of Barcelona SC in the Copa Libertadores 2020 is Diego Lopez.;<s>[INST] Who is the manager of Barcelona SC in the Copa Libertadores 2020? [/INST] The manager of Barcelona SC in the Copa Libertadores 2020 is Diego Lopez. </s>
Where does Barcelona SC play their home games in the Copa Libertadores 2020?;Barcelona SC plays their home games at Estadio Monumental Banco Pichincha in the Copa Libertadores 2020.;<s>[INST] Where does Barcelona SC play their home games in the Copa Libertadores 2020? [/INST] Barcelona SC plays their home games at Estadio Monumental Banco Pichincha in the Copa Libertadores 2020. </s>
When was Barcelona SC founded?;Barcelona SC was founded on 05/01/1925.;<s>[INST] When was Barcelona SC founded? [/INST] Barcelona SC was founded on 05/01/1925. </s>
In which country is Barcelona SC based?;Barcelona SC is based in Ecuador.;<s>[INST] In which country is Barcelona SC based? [/INST] Barcelona SC is based in Ecuador. </s>
What is the full name of Barcelona SC?;The full name of Barcelona SC is Barcelona SC.;<s>[INST] What is the full name of Barcelona SC? [/INST] The full name of Barcelona SC is Barcelona SC. </s>
Who is the manager of River Plate in the Copa Libertadores 2019?;The manager of River Plate in the Copa Libertadores 2019 is Martín Demichelis.;<s>[INST] Who is the manager of River Plate in the Copa Libertadores 2019? [/INST] The manager of River Plate in the Copa Libertadores 2019 is Martín Demichelis. </s>
Where does River Plate play their home games in the Copa Libertadores 2019?;River Plate plays their home games at Estadio Mâs Monumental in the Copa Libertadores 2019.;<s>[INST] Where does River Plate play their home games in the Copa Libertadores 2019? [/INST] River Plate plays their home games at Estadio Mâs Monumental in the Copa Libertadores 2019. </s>
When was River Plate founded?;River Plate was founded on 05/25/1901.;<s>[INST] When was River Plate founded? [/INST] River Plate was founded on 05/25/1901. </s>
In which country is River Plate based?;River Plate is based in Argentina.;<s>[INST] In which country is River Plate based? [/INST] River Plate is based in Argentina. </s>
What is the full name of River Plate?;The full name of River Plate is River Plate.;<s>[INST] What is the full name of River Plate? [/INST] The full name of River Plate is River Plate. </s>
Who is the manager of Palestino in the Copa Libertadores 2019?;The manager of Palestino in the Copa Libertadores 2019 is Pablo Andres Sanchez.;<s>[INST] Who is the manager of Palestino in the Copa Libertadores 2019? [/INST] The manager of Palestino in the Copa Libertadores 2019 is Pablo Andres Sanchez. </s>
Where does Palestino play their home games in the Copa Libertadores 2019?;Palestino plays their home games at Municipal de La Cisterna in the Copa Libertadores 2019.;<s>[INST] Where does Palestino play their home games in the Copa Libertadores 2019? [/INST] Palestino plays their home games at Municipal de La Cisterna in the Copa Libertadores 2019. </s>
When was Palestino founded?;Palestino was founded on 08/20/1920.;<s>[INST] When was Palestino founded? [/INST] Palestino was founded on 08/20/1920. </s>
In which country is Palestino based?;Palestino is based in Chile.;<s>[INST] In which country is Palestino based? [/INST] Palestino is based in Chile. </s>
What is the full name of Palestino?;The full name of Palestino is Palestino.;<s>[INST] What is the full name of Palestino? [/INST] The full name of Palestino is Palestino. </s>
Who is the manager of Alianza Lima in the Copa Libertadores 2019?;The manager of Alianza Lima in the Copa Libertadores 2019 is Jose Mauricio Larriera Dibarboure.;<s>[INST] Who is the manager of Alianza Lima in the Copa Libertadores 2019? [/INST] The manager of Alianza Lima in the Copa Libertadores 2019 is Jose Mauricio Larriera Dibarboure. </s>
Where does Alianza Lima play their home games in the Copa Libertadores 2019?;Alianza Lima plays their home games at Estadio Alejandro Villanueva in the Copa Libertadores 2019.;<s>[INST] Where does Alianza Lima play their home games in the Copa Libertadores 2019? [/INST] Alianza Lima plays their home games at Estadio Alejandro Villanueva in the Copa Libertadores 2019. </s>
When was Alianza Lima founded?;Alianza Lima was founded on 02/15/1901.;<s>[INST] When was Alianza Lima founded? [/INST] Alianza Lima was founded on 02/15/1901. </s>
In which country is Alianza Lima based?;Alianza Lima is based in Peru.;<s>[INST] In which country is Alianza Lima based? [/INST] Alianza Lima is based in Peru. </s>
What is the full name of Alianza Lima?;The full name of Alianza Lima is Alianza Lima.;<s>[INST] What is the full name of Alianza Lima? [/INST] The full name of Alianza Lima is Alianza Lima. </s>
Who is the manager of Cerro Porteño in the Copa Libertadores 2018?;The manager of Cerro Porteño in the Copa Libertadores 2018 is Victor Bernay.;<s>[INST] Who is the manager of Cerro Porteño in the Copa Libertadores 2018? [/INST] The manager of Cerro Porteño in the Copa Libertadores 2018 is Victor Bernay. </s>
Where does Cerro Porteño play their home games in the Copa Libertadores 2018?;Cerro Porteño plays their home games at General Pablo Rojas in the Copa Libertadores 2018.;<s>[INST] Where does Cerro Porteño play their home games in the Copa Libertadores 2018? [/INST] Cerro Porteño plays their home games at General Pablo Rojas in the Copa Libertadores 2018. </s>
When was Cerro Porteño founded?;Cerro Porteño was founded on 10/01/1912.;<s>[INST] When was Cerro Porteño founded? [/INST] Cerro Porteño was founded on 10/01/1912. </s>
In which country is Cerro Porteño based?;Cerro Porteño is based in Paraguay.;<s>[INST] In which country is Cerro Porteño based? [/INST] Cerro Porteño is based in Paraguay. </s>
What is the full name of Cerro Porteño?;The full name of Cerro Porteño is Cerro Porteño.;<s>[INST] What is the full name of Cerro Porteño? [/INST] The full name of Cerro Porteño is Cerro Porteño. </s>
Who is the manager of Defensor Sporting in the Copa Libertadores 2018?;The manager of Defensor Sporting in the Copa Libertadores 2018 is Marcelo Mendez.;<s>[INST] Who is the manager of Defensor Sporting in the Copa Libertadores 2018? [/INST] The manager of Defensor Sporting in the Copa Libertadores 2018 is Marcelo Mendez. </s>
Where does Defensor Sporting play their home games in the Copa Libertadores 2018?;Defensor Sporting plays their home games at Estadio Luis Franzini in the Copa Libertadores 2018.;<s>[INST] Where does Defensor Sporting play their home games in the Copa Libertadores 2018? [/INST] Defensor Sporting plays their home games at Estadio Luis Franzini in the Copa Libertadores 2018. </s>
When was Defensor Sporting founded?;Defensor Sporting was founded on 03/15/1913.;<s>[INST] When was Defensor Sporting founded? [/INST] Defensor Sporting was founded on 03/15/1913. </s>
In which country is Defensor Sporting based?;Defensor Sporting is based in Uruguay.;<s>[INST] In which country is Defensor Sporting based? [/INST] Defensor Sporting is based in Uruguay. </s>
What is the full name of Defensor Sporting?;The full name of Defensor Sporting is Defensor Sporting.;<s>[INST] What is the full name of Defensor Sporting? [/INST] The full name of Defensor Sporting is Defensor Sporting. </s>
Who is the manager of Monagas in the Copa Libertadores 2018?;The manager of Monagas in the Copa Libertadores 2018 is Jhonny Ferreira.;<s>[INST] Who is the manager of Monagas in the Copa Libertadores 2018? [/INST] The manager of Monagas in the Copa Libertadores 2018 is Jhonny Ferreira. </s>
Where does Monagas play their home games in the Copa Libertadores 2018?;Monagas plays their home games at Monumental de Maturín in the Copa Libertadores 2018.;<s>[INST] Where does Monagas play their home games in the Copa Libertadores 2018? [/INST] Monagas plays their home games at Monumental de Maturín in the Copa Libertadores 2018. </s>
When was Monagas founded?;Monagas was founded on 09/23/1987.;<s>[INST] When was Monagas founded? [/INST] Monagas was founded on 09/23/1987. </s>
In which country is Monagas based?;Monagas is based in Venezuela.;<s>[INST] In which country is Monagas based? [/INST] Monagas is based in Venezuela. </s>
What is the full name of Monagas?;The full name of Monagas is Monagas.;<s>[INST] What is the full name of Monagas? [/INST] The full name of Monagas is Monagas. </s>
Who is the manager of Estudiantes de La Plata in the Copa Libertadores 2017?;The manager of Estudiantes de La Plata in the Copa Libertadores 2017 is Eduardo Dominguez.;<s>[INST] Who is the manager of Estudiantes de La Plata in the Copa Libertadores 2017? [/INST] The manager of Estudiantes de La Plata in the Copa Libertadores 2017 is Eduardo Dominguez. </s>
Where does Estudiantes de La Plata play their home games in the Copa Libertadores 2017?;Estudiantes de La Plata plays their home games at Jorge Luis Hirschi Stadium in the Copa Libertadores 2017.;<s>[INST] Where does Estudiantes de La Plata play their home games in the Copa Libertadores 2017? [/INST] Estudiantes de La Plata plays their home games at Jorge Luis Hirschi Stadium in the Copa Libertadores 2017. </s>
When was Estudiantes de La Plata founded?;Estudiantes de La Plata was founded on 08/04/1905.;<s>[INST] When was Estudiantes de La Plata founded? [/INST] Estudiantes de La Plata was founded on 08/04/1905. </s>
In which country is Estudiantes de La Plata based?;Estudiantes de La Plata is based in Argentina.;<s>[INST] In which country is Estudiantes de La Plata based? [/INST] Estudiantes de La Plata is based in Argentina. </s>
What is the full name of Estudiantes de La Plata?;The full name of Estudiantes de La Plata is Estudiantes de La Plata.;<s>[INST] What is the full name of Estudiantes de La Plata? [/INST] The full name of Estudiantes de La Plata is Estudiantes de La Plata. </s>
Who is the manager of Atlético Nacional in the Copa Libertadores 2017?;The manager of Atlético Nacional in the Copa Libertadores 2017 is Jhon Jairo Bodmer.;<s>[INST] Who is the manager of Atlético Nacional in the Copa Libertadores 2017? [/INST] The manager of Atlético Nacional in the Copa Libertadores 2017 is Jhon Jairo Bodmer. </s>
Where does Atlético Nacional play their home games in the Copa Libertadores 2017?;Atlético Nacional plays their home games at Estadio Atanasio Girardot in the Copa Libertadores 2017.;<s>[INST] Where does Atlético Nacional play their home games in the Copa Libertadores 2017? [/INST] Atlético Nacional plays their home games at Estadio Atanasio Girardot in the Copa Libertadores 2017. </s>
When was Atlético Nacional founded?;Atlético Nacional was founded on 03/07/1947.;<s>[INST] When was Atlético Nacional founded? [/INST] Atlético Nacional was founded on 03/07/1947. </s>
In which country is Atlético Nacional based?;Atlético Nacional is based in Colombia.;<s>[INST] In which country is Atlético Nacional based? [/INST] Atlético Nacional is based in Colombia. </s>
What is the full name of Atlético Nacional?;The full name of Atlético Nacional is Atlético Nacional.;<s>[INST] What is the full name of Atlético Nacional? [/INST] The full name of Atlético Nacional is Atlético Nacional. </s>
Who is the manager of The Strongest in the Copa Libertadores 2016?;The manager of The Strongest in the Copa Libertadores 2016 is Pablo Cabanillas.;<s>[INST] Who is the manager of The Strongest in the Copa Libertadores 2016? [/INST] The manager of The Strongest in the Copa Libertadores 2016 is Pablo Cabanillas. </s>
Where does The Strongest play their home games in the Copa Libertadores 2016?;The Strongest plays their home games at Estadio Hernando Siles in the Copa Libertadores 2016.;<s>[INST] Where does The Strongest play their home games in the Copa Libertadores 2016? [/INST] The Strongest plays their home games at Estadio Hernando Siles in the Copa Libertadores 2016. </s>
When was The Strongest founded?;The Strongest was founded on 04/08/1908.;<s>[INST] When was The Strongest founded? [/INST] The Strongest was founded on 04/08/1908. </s>
In which country is The Strongest based?;The Strongest is based in Bolivia.;<s>[INST] In which country is The Strongest based? [/INST] The Strongest is based in Bolivia. </s>
What is the full name of The Strongest?;The full name of The Strongest is The Strongest.;<s>[INST] What is the full name of The Strongest? [/INST] The full name of The Strongest is The Strongest. </s>
Where does Trujillanos FC play their home games in the Copa Libertadores 2016?;Trujillanos FC plays their home games at Estadio Jose Alberto Perez in the Copa Libertadores 2016.;<s>[INST] Where does Trujillanos FC play their home games in the Copa Libertadores 2016? [/INST] Trujillanos FC plays their home games at Estadio Jose Alberto Perez in the Copa Libertadores 2016. </s>
When was Trujillanos FC founded?;Trujillanos FC was founded on 08/25/1981.;<s>[INST] When was Trujillanos FC founded? [/INST] Trujillanos FC was founded on 08/25/1981. </s>
In which country is Trujillanos FC based?;Trujillanos FC is based in Venezuela.;<s>[INST] In which country is Trujillanos FC based? [/INST] Trujillanos FC is based in Venezuela. </s>
What is the full name of Trujillanos FC?;The full name of Trujillanos FC is Trujillanos FC.;<s>[INST] What is the full name of Trujillanos FC? [/INST] The full name of Trujillanos FC is Trujillanos FC. </s>
Who is the manager of Independiente Santa Fe in the Copa Libertadores 2015?;The manager of Independiente Santa Fe in the Copa Libertadores 2015 is Pablo Peirano.;<s>[INST] Who is the manager of Independiente Santa Fe in the Copa Libertadores 2015? [/INST] The manager of Independiente Santa Fe in the Copa Libertadores 2015 is Pablo Peirano. </s>
